terminate called after throwing an instance of 'simdjson::simdjson_error'
  what():  Error allocating memory, we're most likely out of memory
start server.
(2021-09-25.02:31:32 AM) contains: 달팽이 | 127.0.0.1
(2021-09-25.02:32:04 AM) contains: 썅년 | 127.0.0.1
(2021-09-25.02:32:47 AM) contains: 후장 | 127.0.0.1
(2021-09-25.02:33:02 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:33:03 AM) contains: 똥꼬 | 127.0.0.1
(2021-09-25.02:33:12 AM) contains: 내 가슴이 | 127.0.0.1
(2021-09-25.02:33:45 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:33:58 AM) contains: 주먹 | 127.0.0.1
(2021-09-25.02:33:58 AM) similar: 가슴이 | 127.0.0.1
(2021-09-25.02:34:01 AM) similar: 가슴이 컸으면 | 127.0.0.1
(2021-09-25.02:34:16 AM) similar: 임신시키 | 127.0.0.1
(2021-09-25.02:34:26 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:34:58 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:35:32 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:35:58 AM) contains: 은근슬쩍 | 127.0.0.1
(2021-09-25.02:36:05 AM) contains: 임신하기 | 127.0.0.1
(2021-09-25.02:36:11 AM) similar: 임신 | 127.0.0.1
